time [s]	crank-angle [deg]	pressure [bar]	temperature [K]	volume [cm³]	mass [mg]
0.400006	180.100000	14.095979	3145.688743	434.782387	0.676029
0.400011	180.200000	14.114618	3145.865948	434.781723	0.676884
0.400017	180.300000	14.132306	3146.020380	434.780616	0.677697
0.400022	180.400000	14.149031	3146.152014	434.779067	0.678469
0.400028	180.500000	14.164779	3146.260814	434.777074	0.679197
0.400033	180.600000	14.179537	3146.346733	434.774639	0.679882
0.400039	180.700000	14.193292	3146.409709	434.771761	0.680524
0.400044	180.800000	14.206031	3146.449668	434.768441	0.681121
0.400050	180.900000	14.217741	3146.466521	434.764677	0.681673
0.400056	181.000000	14.228409	3146.460162	434.760471	0.682179
0.400061	181.100000	14.238021	3146.430469	434.755822	0.682639
0.400067	181.200000	14.246565	3146.377302	434.750731	0.683052
0.400072	181.300000	14.254027	3146.300498	434.745197	0.683418
0.400078	181.400000	14.260394	3146.199869	434.739219	0.683736
0.400083	181.500000	14.265651	3146.075197	434.732800	0.684005
0.400089	181.600000	14.269782	3145.926221	434.725937	0.684224
0.400094	181.700000	14.272771	3145.752610	434.718632	0.684394
0.400100	181.800000	14.274594	3145.553899	434.710883	0.684512
0.400106	181.900000	14.275210	3145.329197	434.702693	0.684578
0.400111	182.000000	14.274006	3145.056490	434.694059	0.684566
0.400117	182.100000	14.274507	3144.830364	434.684983	0.684625
0.400122	182.200000	14.273131	3144.549366	434.675463	0.684605
0.400128	182.300000	14.273784	3144.327670	434.665502	0.684669
0.400133	182.400000	14.272417	3144.047183	434.655097	0.684648
0.400139	182.500000	14.273114	3143.827541	434.644249	0.684712
0.400144	182.600000	14.271709	3143.545304	434.632959	0.684689
0.400150	182.700000	14.272472	3143.328199	434.621226	0.684754
0.400156	182.800000	14.271046	3143.045002	434.609051	0.684728
0.400161	182.900000	14.271865	3142.830225	434.596432	0.684794
0.400167	183.000000	14.270418	3142.546032	434.583371	0.684766
0.400172	183.100000	14.271291	3142.333560	434.569867	0.684833
0.400178	183.200000	14.269824	3142.048496	434.555920	0.684803
0.400183	183.300000	14.270750	3141.838277	434.541530	0.684870
0.400189	183.400000	14.269266	3141.552419	434.526698	0.684838
0.400194	183.500000	14.270243	3141.344417	434.511423	0.684906
0.400200	183.600000	14.268743	3141.057836	434.495705	0.684872
0.400206	183.700000	14.269769	3140.852015	434.479544	0.684941
0.400211	183.800000	14.268254	3140.564776	434.462941	0.684904
0.400217	183.900000	14.269329	3140.361106	434.445894	0.684974
0.400222	184.000000	14.267800	3140.073263	434.428405	0.684935
0.400228	184.100000	14.268921	3139.871717	434.410473	0.685005
0.400233	184.200000	14.267380	3139.583321	434.392099	0.684965
0.400239	184.300000	14.268546	3139.383876	434.373281	0.685035
0.400244	184.400000	14.266993	3139.094972	434.354021	0.684993
0.400250	184.500000	14.268205	3138.897604	434.334318	0.685063
0.400256	184.600000	14.266641	3138.608235	434.314172	0.685019
0.400261	184.700000	14.267896	3138.412925	434.293583	0.685090
0.400267	184.800000	14.266322	3138.123129	434.272552	0.685044
0.400272	184.900000	14.267621	3137.929857	434.251077	0.685115
0.400278	185.000000	14.266038	3137.639670	434.229160	0.685068
0.400283	185.100000	14.267378	3137.448418	434.206800	0.685138
0.400289	185.200000	14.265786	3137.157873	434.183998	0.685089
0.400294	185.300000	14.267168	3136.968626	434.160752	0.685161
0.400300	185.400000	14.265569	3136.677754	434.137064	0.685110
0.400306	185.500000	14.266991	3136.490496	434.112932	0.685181
0.400311	185.600000	14.265384	3136.199326	434.088358	0.685129
0.400317	185.700000	14.266847	3136.014042	434.063341	0.685200
0.400322	185.800000	14.265234	3135.722602	434.037882	0.685146
0.400328	185.900000	14.266736	3135.539278	434.011979	0.685217
0.400333	186.000000	14.265116	3135.247595	433.985634	0.685162
0.400339	186.100000	14.266658	3135.066217	433.958845	0.685233
0.400344	186.200000	14.265032	3134.774314	433.931614	0.685176
0.400350	186.300000	14.266612	3134.594872	433.903940	0.685247
0.400356	186.400000	14.264982	3134.302773	433.875823	0.685188
0.400361	186.500000	14.266600	3134.125253	433.847264	0.685260
0.400367	186.600000	14.264964	3133.832981	433.818261	0.685199
0.400372	186.700000	14.266620	3133.657372	433.788816	0.685271
0.400378	186.800000	14.264980	3133.364947	433.758928	0.685209
0.400383	186.900000	14.266673	3133.191239	433.728596	0.685280
0.400389	187.000000	14.265029	3132.898683	433.697822	0.685216
0.400394	187.100000	14.266759	3132.726864	433.666605	0.685288
0.400400	187.200000	14.265112	3132.434196	433.634946	0.685223
0.400406	187.300000	14.266877	3132.264257	433.602843	0.685294
0.400411	187.400000	14.265227	3131.971496	433.570297	0.685227
0.400417	187.500000	14.267028	3131.803426	433.537309	0.685298
0.400422	187.600000	14.265376	3131.510591	433.503878	0.685230
0.400428	187.700000	14.267212	3131.344381	433.470003	0.685301
0.400433	187.800000	14.265557	3131.051489	433.435686	0.685232
0.400439	187.900000	14.267429	3130.887130	433.400926	0.685302
0.400444	188.000000	14.265772	3130.594198	433.365723	0.685231
0.400450	188.100000	14.267679	3130.431681	433.330077	0.685302
0.400456	188.200000	14.266020	3130.138727	433.293988	0.685230
0.400461	188.300000	14.267961	3129.978041	433.257457	0.685300
0.400467	188.400000	14.266301	3129.685081	433.220482	0.685226
0.400472	188.500000	14.268276	3129.526220	433.183064	0.685297
0.400478	188.600000	14.266615	3129.233270	433.145204	0.685221
0.400483	188.700000	14.268624	3129.076224	433.106900	0.685291
0.400489	188.800000	14.266963	3128.783299	433.068154	0.685214
0.400494	188.900000	14.269004	3128.628060	433.028965	0.685284
0.400500	189.000000	14.267343	3128.335175	432.989332	0.685206
0.400506	189.100000	14.269418	3128.181736	432.949257	0.685276
