time [s]	crank-angle [deg]	pressure [bar]	temperature [K]	volume [cm³]	mass [mg]
0.400006	660.100000	7.067460	2404.249345	155.228792	0.158383
0.400011	660.200000	7.086760	2405.466299	154.884313	0.158383
0.400017	660.300000	7.106143	2406.685812	154.540059	0.158383
0.400022	660.400000	7.125610	2407.907887	154.196030	0.158383
0.400028	660.500000	7.145161	2409.132527	153.852228	0.158383
0.400033	660.600000	7.164797	2410.359736	153.508655	0.158383
0.400039	660.700000	7.184517	2411.589518	153.165313	0.158383
0.400044	660.800000	7.204323	2412.821874	152.822202	0.158383
0.400050	660.900000	7.224215	2414.056810	152.479324	0.158383
0.400056	661.000000	7.244192	2415.294328	152.136681	0.158383
0.400061	661.100000	7.264257	2416.534431	151.794274	0.158383
0.400067	661.200000	7.284409	2417.777124	151.452104	0.158383
0.400072	661.300000	7.304648	2419.022408	151.110173	0.158383
0.400078	661.400000	7.324975	2420.270288	150.768482	0.158383
0.400083	661.500000	7.345390	2421.520767	150.427034	0.158383
0.400089	661.600000	7.365895	2422.773847	150.085828	0.158383
0.400094	661.700000	7.386489	2424.029533	149.744868	0.158383
0.400100	661.800000	7.407172	2425.287828	149.404153	0.158383
0.400106	661.900000	7.427946	2426.548734	149.063687	0.158383
0.400111	662.000000	7.448810	2427.812255	148.723469	0.158383
0.400117	662.100000	7.469765	2429.078394	148.383502	0.158383
0.400122	662.200000	7.490812	2430.347155	148.043787	0.158383
0.400128	662.300000	7.511951	2431.618540	147.704325	0.158383
0.400133	662.400000	7.533183	2432.892553	147.365118	0.158383
0.400139	662.500000	7.554507	2434.169196	147.026168	0.158383
0.400144	662.600000	7.575925	2435.448474	146.687475	0.158383
0.400150	662.700000	7.597437	2436.730388	146.349042	0.158383
0.400156	662.800000	7.619043	2438.014943	146.010869	0.158383
0.400161	662.900000	7.640744	2439.302140	145.672958	0.158383
0.400167	663.000000	7.662540	2440.591984	145.335311	0.158383
0.400172	663.100000	7.684432	2441.884477	144.997930	0.158383
0.400178	663.200000	7.706420	2443.179622	144.660814	0.158383
0.400183	663.300000	7.728506	2444.477422	144.323967	0.158383
0.400189	663.400000	7.750688	2445.777881	143.987389	0.158383
