time [s]	pressure [bar]	temperature [K]	mass [kg]
0.400739	14.282737	2754.095591	0.001017
0.400744	14.284946	2754.231708	0.001017
0.400750	14.283834	2754.184069	0.001017
0.400756	14.286067	2754.321617	0.001017
0.400761	14.284965	2754.274387	0.001017
0.400767	14.287222	2754.413351	0.001017
0.400772	14.286129	2754.366541	0.001017
0.400778	14.288410	2754.506905	0.001017
0.400783	14.287327	2754.460525	0.001017
0.400789	14.289631	2754.602274	0.001017
0.400794	14.288559	2754.556335	0.001017
0.400800	14.290886	2754.699454	0.001017
0.400806	14.289824	2754.653966	0.001017
0.400811	14.292174	2754.798440	0.001017
0.400817	14.291123	2754.753415	0.001017
0.400822	14.293496	2754.899228	0.001017
0.400828	14.292456	2754.854677	0.001017
0.400833	14.294852	2755.001812	0.001017
0.400839	14.293823	2754.957746	0.001017
0.400844	14.296241	2755.106187	0.001017
0.400850	14.295224	2755.062619	0.001017
0.400856	14.297664	2755.212350	0.001017
0.400861	14.296658	2755.169291	0.001017
0.400867	14.299120	2755.320294	0.001017
0.400872	14.298127	2755.277756	0.001017
0.400878	14.300610	2755.430016	0.001017
0.400883	14.299629	2755.388011	0.001017
0.400889	14.302134	2755.541508	0.001018
0.400894	14.301166	2755.500049	0.001017
0.400900	14.303691	2755.654767	0.001018
0.400906	14.302736	2755.613868	0.001018
0.400911	14.305282	2755.769787	0.001018
0.400917	14.304340	2755.729460	0.001018
0.400922	14.306907	2755.886563	0.001018
0.400928	14.305979	2755.846822	0.001018
0.400933	14.308566	2756.005088	0.001018
0.400939	14.307652	2755.965948	0.001018
0.400944	14.310258	2756.125358	0.001018
0.400950	14.309358	2756.086833	0.001018
0.400956	14.311985	2756.247365	0.001018
0.400961	14.311099	2756.209471	0.001018
0.400967	14.313745	2756.371105	0.001018
0.400972	14.312875	2756.333856	0.001018
0.400978	14.315539	2756.496570	0.001018
0.400983	14.314684	2756.459984	0.001018
0.400989	14.317367	2756.623755	0.001018
0.400994	14.316528	2756.587848	0.001018
0.401000	14.319229	2756.752652	0.001018
0.401006	14.318407	2756.717442	0.001018
0.401011	14.321126	2756.883254	0.001018
0.401017	14.320319	2756.848760	0.001018
0.401022	14.323056	2757.015554	0.001018
0.401028	14.322266	2756.981795	0.001018
0.401033	14.325020	2757.149545	0.001019
0.401039	14.324248	2757.116542	0.001019
0.401044	14.327018	2757.285219	0.001019
0.401050	14.326265	2757.252992	0.001019
0.401056	14.329050	2757.422566	0.001019
0.401061	14.328316	2757.391139	0.001019
0.401067	14.331117	2757.561578	0.001019
0.401072	14.330401	2757.530975	0.001019
0.401078	14.333218	2757.702246	0.001019
0.401083	14.332522	2757.672492	0.001019
0.401089	14.335353	2757.844560	0.001019
0.401094	14.334677	2757.815682	0.001019
0.401100	14.337522	2757.988508	0.001019
0.401106	14.336868	2757.960537	0.001019
0.401111	14.339725	2758.134079	0.001019
0.401117	14.339093	2758.107047	0.001019
0.401122	14.341963	2758.281261	0.001019
0.401128	14.341354	2758.255202	0.001019
0.401133	14.344236	2758.430041	0.001019
0.401139	14.343650	2758.404993	0.001019
0.401144	14.346542	2758.580402	0.001020
0.401150	14.345981	2758.556408	0.001020
0.401156	14.348883	2758.732329	0.001020
0.401161	14.348348	2758.709436	0.001020
0.401167	14.351259	2758.885802	0.001020
0.401172	14.350750	2758.864065	0.001020
0.401178	14.353669	2759.040803	0.001020
0.401183	14.353189	2759.020280	0.001020
0.401189	14.356114	2759.197305	0.001020
0.401194	14.355663	2759.178069	0.001020
0.401200	14.358593	2759.355282	0.001020
0.401206	14.358175	2759.337416	0.001020
