time [s]	crank-angle [deg]	mass flow [kg/s]	enthalpy flow [J/s]	throat area [cm²]
0.400572	190.300000	-0.015838	-64798.228785	5.887968
0.400578	190.400000	0.012218	43616.168140	5.901641
0.400583	190.500000	-0.016079	-65771.382913	5.915308
0.400589	190.600000	0.012158	43404.045102	5.928967
0.400594	190.700000	-0.016317	-66736.795741	5.942618
0.400600	190.800000	0.012096	43183.493847	5.956262
0.400606	190.900000	-0.016554	-67694.533217	5.969898
0.400611	191.000000	0.012032	42954.569433	5.983526
0.400617	191.100000	-0.016789	-68644.650951	5.997146
0.400622	191.200000	0.011965	42717.315900	6.010758
0.400628	191.300000	-0.017022	-69587.194513	6.024361
0.400633	191.400000	0.011896	42471.766589	6.037956
0.400639	191.500000	-0.017253	-70522.199683	6.051542
0.400644	191.600000	0.011825	42217.944405	6.065119
0.400650	191.700000	-0.017482	-71449.692645	6.078687
0.400656	191.800000	0.011751	41955.862027	6.092245
0.400661	191.900000	-0.017710	-72369.690134	6.105795
0.400667	192.000000	0.011675	41685.522058	6.119334
0.400672	192.100000	-0.017936	-73282.199534	6.132864
0.400678	192.200000	0.011596	41406.917129	6.146384
0.400683	192.300000	-0.018160	-74187.218930	6.159894
0.400689	192.400000	0.011516	41120.029953	6.173394
0.400694	192.500000	-0.018382	-75084.737114	6.186884
0.400700	192.600000	0.011433	40824.833327	6.200364
0.400706	192.700000	-0.018603	-75974.733550	6.213832
0.400711	192.800000	0.011347	40521.290085	6.227291
0.400717	192.900000	-0.018821	-76857.178283	6.240738
0.400722	193.000000	0.011260	40209.353004	6.254174
0.400728	193.100000	-0.019038	-77732.031812	6.267599
0.400733	193.200000	0.011170	39888.964653	6.281014
0.400739	193.300000	-0.019253	-78599.244908	6.294416
0.400744	193.400000	0.011077	39560.057197	6.307808
0.400750	193.500000	-0.019467	-79458.758386	6.321187
0.400756	193.600000	0.010982	39222.552132	6.334555
0.400761	193.700000	-0.019678	-80310.502816	6.347911
0.400767	193.800000	0.010885	38876.359980	6.361255
0.400772	193.900000	-0.019888	-81154.398192	6.374587
0.400778	194.000000	0.010785	38521.379901	6.387907
0.400783	194.100000	-0.020095	-81990.353522	6.401214
0.400789	194.200000	0.010683	38157.499255	6.414509
0.400794	194.300000	-0.020301	-82818.266366	6.427792
0.400800	194.400000	0.010578	37784.593074	6.441062
0.400806	194.500000	-0.020505	-83638.022298	6.454318
0.400811	194.600000	0.010471	37402.523469	6.467562
0.400817	194.700000	-0.020706	-84449.494286	6.480793
0.400822	194.800000	0.010361	37011.138932	6.494011
0.400828	194.900000	-0.020906	-85252.541988	6.507216
0.400833	195.000000	0.010248	36610.273552	6.520407
0.400839	195.100000	-0.021104	-86047.010949	6.533585
0.400844	195.200000	0.010133	36199.746111	6.546749
0.400850	195.300000	-0.021299	-86832.731687	6.559900
0.400856	195.400000	0.010015	35779.359059	6.573036
0.400861	195.500000	-0.021493	-87609.518659	6.586159
0.400867	195.600000	0.009894	35348.897344	6.599268
0.400872	195.700000	-0.021684	-88377.169081	6.612363
0.400878	195.800000	0.009770	34908.127088	6.625444
0.400883	195.900000	-0.021873	-89135.461596	6.638510
0.400889	196.000000	0.009643	34456.794067	6.651562
0.400894	196.100000	-0.022059	-89884.154752	6.664600
0.400900	196.200000	0.009513	33994.621984	6.677623
0.400906	196.300000	-0.022243	-90622.985270	6.690631
0.400911	196.400000	0.009381	33521.310502	6.703624
0.400917	196.500000	-0.022425	-91351.666071	6.716603
0.400922	196.600000	0.009244	33036.532976	6.729567
0.400928	196.700000	-0.022604	-92069.884014	6.742515
0.400933	196.800000	0.009105	32539.933864	6.755449
0.400939	196.900000	-0.022781	-92777.297304	6.768367
0.400944	197.000000	0.008962	32031.125735	6.781270
0.400950	197.100000	-0.022955	-93473.532509	6.794158
0.400956	197.200000	0.008816	31509.685811	6.807030
0.400961	197.300000	-0.023126	-94158.181104	6.819886
0.400967	197.400000	0.008666	30975.151960	6.832727
0.400972	197.500000	-0.023294	-94830.795477	6.845553
0.400978	197.600000	0.008512	30427.018015	6.858362
0.400983	197.700000	-0.023459	-95490.884259	6.871155
0.400989	197.800000	0.008354	29864.728296	6.883933
0.400994	197.900000	-0.023621	-96137.906861	6.896694
0.401000	198.000000	0.008193	29287.671157	6.909440
0.401006	198.100000	-0.023779	-96771.267050	6.922169
0.401011	198.200000	0.008027	28695.171337	6.934881
0.401017	198.300000	-0.023934	-97390.305319	6.947578
0.401022	198.400000	0.007856	28086.480846	6.960258
0.401028	198.500000	-0.024086	-97994.289807	6.972921
0.401033	198.600000	0.007680	27460.768016	6.985568
0.401039	198.700000	-0.024233	-98582.405397	6.998198
0.401044	198.800000	0.007500	26817.104254	7.010811
0.401050	198.900000	-0.024377	-99153.740519	7.023408
0.401056	199.000000	0.007314	26154.447881	7.035987
0.401061	199.100000	-0.024516	-99707.271050	7.048550
0.401067	199.200000	0.007123	25471.624223	7.061096
0.401072	199.300000	-0.024650	-100241.840494	7.073624
0.401078	199.400000	0.006926	24767.300856	7.086135
0.401083	199.500000	-0.024779	-100756.135321	7.098629
0.401089	199.600000	0.006722	24039.956435	7.111106
0.401094	199.700000	-0.024903	-101248.653934	7.123565
0.401100	199.800000	0.006511	23287.841003	7.136007
0.401106	199.900000	-0.025022	-101717.667141	7.148432
0.401111	200.000000	0.006293	22508.924690	7.160838
0.401117	200.100000	-0.025134	-102161.167074	7.173227
0.401122	200.200000	0.006067	21700.830365	7.185599
0.401128	200.300000	-0.025239	-102576.800125	7.197952
0.401133	200.400000	0.005832	20860.743652	7.210288
0.401139	200.500000	-0.025337	-102961.777351	7.222606
0.401144	200.600000	0.005587	19985.290166	7.234906
0.401150	200.700000	-0.025426	-103312.752229	7.247188
0.401156	200.800000	0.005330	19070.364085	7.259451
0.401161	200.900000	-0.025506	-103625.649960	7.271697
0.401167	201.000000	0.005062	18110.882056	7.283924
0.401172	201.100000	-0.025575	-103895.422424	7.296133
0.401178	201.200000	0.004779	17100.418245	7.308324
0.401183	201.300000	-0.025632	-104115.684769	7.320496
0.401189	201.400000	0.004480	16030.641620	7.332650
0.401194	201.500000	-0.025675	-104278.155059	7.344786
0.401200	201.600000	0.004161	14890.405716	7.356902
0.401206	201.700000	-0.025701	-104371.747819	7.369001
0.401211	201.800000	0.003818	13664.185263	7.381080
0.401217	201.900000	-0.025706	-104381.017064	7.393141
0.401222	202.000000	0.003445	12329.173543	7.405183
0.401228	202.100000	-0.025684	-104283.265279	7.417206
0.401233	202.200000	0.003031	10849.293402	7.429210
0.401239	202.300000	-0.025628	-104042.577643	7.441196
0.401244	202.400000	0.002559	9160.800565	7.453162
0.401250	202.500000	-0.025520	-103595.478233	7.465109
0.401256	202.600000	0.001991	7127.975858	7.477037
0.401261	202.700000	-0.025329	-102806.769626	7.488946
0.401267	202.800000	0.001205	4315.220416	7.500836
0.401272	202.900000	-0.024946	-101242.214487	7.512707
0.401278	203.000000	-0.000919	-3727.737538	7.524558
0.401283	203.100000	-0.023245	-94328.341271	7.536390
0.401289	203.200000	-0.002079	-8434.804701	7.548202
0.401294	203.300000	-0.022327	-90594.170180	7.559995
0.401300	203.400000	-0.003326	-13494.553196	7.571769
0.401306	203.500000	-0.021331	-86545.356013	7.583523
0.401311	203.600000	-0.004549	-18453.095309	7.595257
0.401317	203.700000	-0.020371	-82639.881038	7.606972
0.401322	203.800000	-0.005724	-23219.136360	7.618667
0.401328	203.900000	-0.019468	-78971.752137	7.630342
0.401333	204.000000	-0.006841	-27747.485017	7.641997
0.401339	204.100000	-0.018636	-75587.830932	7.653633
0.401344	204.200000	-0.007891	-32005.056719	7.665249
0.401350	204.300000	-0.017882	-72521.459851	7.676845
0.401356	204.400000	-0.008868	-35964.827321	7.688421
0.401361	204.500000	-0.017212	-69798.101071	7.699977
0.401367	204.600000	-0.009767	-39605.359238	7.711513
0.401372	204.700000	-0.016631	-67435.516783	7.723028
0.401378	204.800000	-0.010584	-42911.913302	7.734524
0.401383	204.900000	-0.016141	-65442.608809	7.745999
0.401389	205.000000	-0.011316	-45877.924696	7.757455
0.401394	205.100000	-0.015742	-63818.241170	7.768890
0.401400	205.200000	-0.011966	-48506.189012	7.780304
0.401406	205.300000	-0.015431	-62550.721157	7.791699
0.401411	205.400000	-0.012535	-50809.296528	7.803073
0.401417	205.500000	-0.015202	-61618.304324	7.814426
0.401422	205.600000	-0.013029	-52809.043937	7.825759
0.401428	205.700000	-0.015049	-60990.791350	7.837072
0.401433	205.800000	-0.013457	-54534.807454	7.848364
0.401439	205.900000	-0.014962	-60631.993493	7.859635
0.401444	206.000000	-0.013825	-56021.125715	7.870886
0.401450	206.100000	-0.014931	-60502.637043	7.882117
0.401456	206.200000	-0.014143	-57304.923880	7.893326
0.401461	206.300000	-0.014947	-60563.217146	7.904515
0.401467	206.400000	-0.014420	-58422.850953	7.915683
0.401472	206.500000	-0.015001	-60776.395382	7.926830
0.401478	206.600000	-0.014665	-59409.106051	7.937957
0.401483	206.700000	-0.015085	-61108.705112	7.949062
0.401489	206.800000	-0.014884	-60293.956518	7.960147
0.401494	206.900000	-0.015191	-61531.509600	7.971210
0.401500	207.000000	-0.015085	-61102.974350	7.982253
0.401506	207.100000	-0.015313	-62021.296639	7.993275
0.401511	207.200000	-0.015273	-61856.888320	8.004275
0.401517	207.300000	-0.015447	-62559.469846	8.015255
0.401522	207.400000	-0.015451	-62571.884035	8.026213
0.401528	207.500000	-0.015590	-63131.816861	8.037151
0.401533	207.600000	-0.015622	-63260.174142	8.048067
0.401539	207.700000	-0.015738	-63727.816515	8.058961
0.401544	207.800000	-0.015789	-63930.686060	8.069835
0.401550	207.900000	-0.015891	-64339.909818	8.080687
0.401556	208.000000	-0.015953	-64589.755275	8.091518
0.401561	208.100000	-0.016046	-64962.817907	8.102328
0.401567	208.200000	-0.016116	-65241.754184	8.113116
0.401572	208.300000	-0.016203	-65592.952936	8.123883
0.401578	208.400000	-0.016277	-65889.621657	8.134629
0.401583	208.500000	-0.016361	-66227.939334	8.145353
0.401589	208.600000	-0.016438	-66535.284020	8.156055
0.401594	208.700000	-0.016521	-66866.243709	8.166736
0.401600	208.800000	-0.016599	-67179.974116	8.177395
0.401606	208.900000	-0.016680	-67506.900741	8.188033
0.401611	209.000000	-0.016759	-67824.463374	8.198649
0.401617	209.100000	-0.016840	-68149.317755	8.209244
0.401622	209.200000	-0.016920	-68469.224497	8.219816
0.401628	209.300000	-0.017001	-68793.140103	8.230368
0.401633	209.400000	-0.017081	-69114.541787	8.240897
0.401639	209.500000	-0.017162	-69438.161348	8.251404
0.401644	209.600000	-0.017242	-69760.583653	8.261890
0.401650	209.700000	-0.017323	-70084.265100	8.272354
0.401656	209.800000	-0.017403	-70407.448923	8.282796
0.401661	209.900000	-0.017484	-70731.388388	8.293216
0.401667	210.000000	-0.017565	-71055.195609	8.303615
0.401672	210.100000	-0.017646	-71379.499203	8.313991
0.401678	210.200000	-0.017727	-71703.858323	8.324346
0.401683	210.300000	-0.017808	-72028.583084	8.334678
0.401689	210.400000	-0.017889	-72353.458542	8.344988
0.401694	210.500000	-0.017970	-72678.635297	8.355277
0.401700	210.600000	-0.018051	-73004.010535	8.365543
0.401706	210.700000	-0.018132	-73329.656378	8.375787
0.401711	210.800000	-0.018214	-73655.524692	8.386009
0.401717	210.900000	-0.018295	-73981.649659	8.396209
0.401722	211.000000	-0.018376	-74308.009350	8.406387
