time [s]	pressure [bar]	temperature [K]	mass [kg]
0.400844	3.137798	2581.680017	0.000238
0.400850	3.135815	2581.315455	0.000238
0.400856	3.133835	2580.951082	0.000238
0.400861	3.131857	2580.586902	0.000238
0.400867	3.129880	2580.222914	0.000238
0.400872	3.127906	2579.859119	0.000238
0.400878	3.125934	2579.495520	0.000238
0.400883	3.123963	2579.132116	0.000237
0.400889	3.121995	2578.768909	0.000237
0.400894	3.120029	2578.405900	0.000237
0.400900	3.118065	2578.043091	0.000237
0.400906	3.116103	2577.680481	0.000237
0.400911	3.114143	2577.318073	0.000237
0.400917	3.112185	2576.955867	0.000237
0.400922	3.110229	2576.593864	0.000237
0.400928	3.108276	2576.232066	0.000237
0.400933	3.106324	2575.870473	0.000236
0.400939	3.104375	2575.509086	0.000236
0.400944	3.102427	2575.147907	0.000236
0.400950	3.100482	2574.786937	0.000236
0.400956	3.098539	2574.426176	0.000236
0.400961	3.096598	2574.065625	0.000236
0.400967	3.094659	2573.705286	0.000236
0.400972	3.092722	2573.345160	0.000236
0.400978	3.090787	2572.985247	0.000236
0.400983	3.088854	2572.625549	0.000235
0.400989	3.086924	2572.266067	0.000235
0.400994	3.084995	2571.906801	0.000235
0.401000	3.083069	2571.547753	0.000235
0.401006	3.081145	2571.188924	0.000235
0.401011	3.079222	2570.830314	0.000235
0.401017	3.077303	2570.471924	0.000235
0.401022	3.075385	2570.113757	0.000235
0.401028	3.073469	2569.755811	0.000234
0.401033	3.071556	2569.398090	0.000234
0.401039	3.069644	2569.040592	0.000234
0.401044	3.067735	2568.683321	0.000234
0.401050	3.065828	2568.326275	0.000234
0.401056	3.063923	2567.969457	0.000234
0.401061	3.062020	2567.612867	0.000234
0.401067	3.060120	2567.256507	0.000234
0.401072	3.058221	2566.900377	0.000234
0.401078	3.056325	2566.544478	0.000233
0.401083	3.054431	2566.188811	0.000233
0.401089	3.052539	2565.833377	0.000233
0.401094	3.050649	2565.478176	0.000233
0.401100	3.048762	2565.123211	0.000233
0.401106	3.046876	2564.768482	0.000233
0.401111	3.044993	2564.413989	0.000233
0.401117	3.043112	2564.059734	0.000233
0.401122	3.041233	2563.705718	0.000233
0.401128	3.039356	2563.351940	0.000232
0.401133	3.037482	2562.998404	0.000232
0.401139	3.035610	2562.645108	0.000232
0.401144	3.033740	2562.292055	0.000232
0.401150	3.031872	2561.939244	0.000232
0.401156	3.030006	2561.586678	0.000232
0.401161	3.028143	2561.234356	0.000232
0.401167	3.026282	2560.882280	0.000232
